Please enter the topology filename with extension: topology3.txt
--------------------------------------------------------
This is the initial topology of the network:
--------------------------------------------------------
Router 0:

24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,999999,-
29,999999,-

Router 18:

0,999999,-
1,999999,-
2,999999,-
3,999999,-
4,1020,4
5,999999,-
6,999999,-
7,999999,-
8,999999,-
9,999999,-
10,999999,-
11,999999,-
12,999999,-
13,999999,-
14,999999,-
15,999999,-
16,999999,-
17,999999,-
19,786,19
20,999999,-
21,999999,-
22,999999,-
23,999999,-
24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,999999,-
29,999999,-

Router 19:

0,999999,-
1,999999,-
2,999999,-
3,999999,-
4,999999,-
5,999999,-
6,999999,-
7,999999,-
8,999999,-
9,281,9
10,999999,-
11,999999,-
12,999999,-
13,999999,-
14,999999,-
15,999999,-
16,227,16
17,999999,-
18,786,18
20,999999,-
21,999999,-
22,999999,-
23,999999,-
24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,999999,-
29,999999,-

Router 20:

0,254,0
1,999999,-
2,999999,-
3,999999,-
4,999999,-
5,999999,-
6,999999,-
7,999999,-
8,999999,-
9,999999,-
10,999999,-
11,999999,-
12,999999,-
13,1001,13
14,999999,-
15,999999,-
16,999999,-
17,999999,-
18,999999,-
19,999999,-
21,999999,-
22,999999,-
23,999999,-
24,999999,-
25,999999,-
26,255,26
27,999999,-
28,999999,-
29,999999,-

Router 21:

0,999999,-
1,999999,-
2,999999,-
3,376,3
4,999999,-
5,999999,-
6,999999,-
7,999999,-
8,999999,-
9,999999,-
10,999999,-
11,999999,-
12,999999,-
13,999999,-
14,999999,-
15,823,15
16,999999,-
17,999999,-
18,999999,-
19,999999,-
20,999999,-
22,999999,-
23,280,23
24,999999,-
25,999999,-
26,999999,-
27,999999,-
28,999999,-
29,999999,-

Router 22:

0,917,0
1,712,1
2,269,2
3,999999,-
4,999999,-
5,999999,-
6,999999,-
7,999999,-
8,57,8
9,999999,-
10,44,10
11,999999,-
